question,answer,topic
What is collagen?,A fibrous protein that is the main component of connective tissue in the body.,medicine
What is colon?,The large intestine; a muscular tube that is 5 to 6 feet long. It compacts and moves solid waste.,medicine
What is colonoscopy?,"A procedure to see inside the colon, using a long, lighted flexible tube mounted with a tiny camera.",medicine
What is colostrum?,"An antibody-rich form of breast milk, produced at the end of pregnancy and for a short time after birth, which strengthens a newborn’s immune system.",medicine
What is coma?,Deep unconsciousness where the person is alive but unable to move or respond.,medicine
What is compression fracture?,"The collapse of a bone, most often a bone in the spine (vertebra).",medicine
What is concentric muscle action?,Force produced while the muscle is shortening in length.,medicine
What is conception?,When an egg is fertilised by sperm and then starts to grow in the womb.,medicine
What is condition?,"A state of being, like being healthy or fit, or having a problem, such as a heart problem.",medicine
What is cones?,Cells in the retina that are sensitive to color and light.,medicine
What is congestion?,An accumulation of mucus or of blood in an organ.,medicine
What is congestive heart failure?,"An older term for heart failure, a disorder caused by a decrease in the heart’s ability to pump blood. Congestive heart failure referred specifically to the type of heart failure associated with the accumulation of excess fluid in the lungs or extremities.",medicine
What is conjunctivitis?,Swelling or infection of the thin lining on the inside of the eyelid and the white part of the eyeball.,medicine
What is connective tissue?,"A group of tissues in the body that provide internal support and bind other tissues in the body, including bone, cartilage, tendons, and ligaments.",medicine
What is continuous training?," This is the most common type of sustained aerobic exercise for fitness improvement, slowly adding more time to the workout to increase endurance.",medicine
What is contraception?,"Contraception, or birth control, is what you and your partner can use to help prevent an unwanted pregnancy or to space out your pregnancies. There are many different forms of contraception including condoms, hormonal pills and implants, hormonal and non-hormonal coils and permanent methods such as female sterilization or vasectomy. You can get more information about contraception from your GP or a family planning clinic.",medicine
What is contusion?,"A bruise. An injury that causes swelling, pain, and discoloration but doesn’t break the skin.",medicine
What is convulsion?,Rapid uncontrollable shaking of the body caused by muscles contracting and relaxing repeatedly.,medicine
What is cool down?,Lowering of body temperature following vigorous exercise. The practice of cooling down after exercise involves slowing down your level of activity gradually.,medicine
What is core?,"A muscle group comprised of the abdominals, lower back, obliques, and hips.",medicine
What is corn?,"An area of hardened, thickened skin usually caused by friction.",medicine
What is cornea?,The clear dome that covers the front of the eye.,medicine
What is coronary?,Pertaining to the arteries that supply blood to the heart.,medicine
What is coronary artery?,Blood vessel that carries oxygen-rich blood to the heart muscle.,medicine
What is coronary heart disease?,"A commonly used term for coronary artery disease, a condition in which one or more of the arteries feeding the heart become so narrow in spots that blood flow is impaired or stopped entirely, causing chest pain or a heart attack.",medicine
What is corpus callosum?,The large bundle of nerve fibers linking the left and right sides of the brain.,medicine
What is cortisol?," A hormone secreted by the adrenal gland that makes stored nutrients more readily available to meet energy demands. These hormone levels increase under stress, which can stimulate your appetite, leading to weight gain or difficulty losing weight.",medicine
What is cpr?,"Cardiopulmonary resuscitation, a procedure used to revive a person whose heart has stopped beating or who is not breathing.",medicine
What is creatine?,"A natural compound found in muscle tissue, often used as a dietary supplement to improve athletic performance.",medicine
What is cross training?,"A type of exercise that combines different types of training, such as strength training and cardio, to improve overall fitness.",medicine
What is cryotherapy?,Use of extreme cold to freeze and destroy diseased tissue.,medicine
What is cyst?,An abnormal growth in the body that is noncancerous.,medicine
What is dandruff?,"A mild and common condition that is characterized by an itchy, flaky scalp and that may extend to the ears, face, and chest. Also known as seborrheic dermatitis.",medicine
What is debility?,Weakness or a loss of physical strength.,medicine
What is decongestant?,Type of medication used to relieve nasal congestion.,medicine
What is defibrillation?,The delivery of an electric shock to the heart to stop an abnormal rhythm and restore a normal heartbeat.,medicine
What is defribillator?,"A device used to deliver an electric shock to the heart in order to restore its normal rhythm, often used in emergency situations such as cardiac arrest.",medicine
What is degenerative disease?,"A disease that causes the gradual deterioration of a specific tissue or organ in the body, often due to age-related changes or genetic factors. Examples include Alzheimer's disease and Parkinson's disease.",medicine
What is delayed onset muscle soreness?,"Soreness or stiffness in muscles that occurs 24 to 72 hours after exercise, often due to microscopic tears in the muscle fibers.",medicine
What is delirium?,"Sudden, severe confusion that occurs because of a mental or physical illness.",medicine
What is delusion?,A false or irrational belief held by a person despite evidence to the contrary.,medicine
What is dementia?,"A loss of brain function that worsens over time and affects memory, thinking, behavior, and language.",medicine
What is dendrites?,The parts of a nerve cell that receive signals from other nerve cells.,medicine
What is denial?,"A defense mechanism characterized by the inability to recognize or admit that addiction is the cause of problems, rather than a solution or mere byproduct. Denial can also refer to the refusal to accept an upsetting reality, such as a serious illness or death or the feelings that follow either.",medicine
What is dental implant?,A metal post inserted into the alveolar bone to support an artificial tooth or other prosthesis.,medicine
What is deoxyribonucleic acid?,The substance found in the nucleus of cells that contains the genetic instructions for that living organism.,medicine
What is dermis?,"The middle layer of skin that contains most of the skin’s structures, like collagen, nerves, glands, and hair follicles.",medicine
What is detoxification?,"The process of removing harmful, or toxic, substances from a person’s body.",medicine
What is detraining principle?," This principle says that once consistent exercise stops, you will eventually lose the strength that you built up. Without overload or maintenance, muscles will weaken in two weeks or less.",medicine
What is detrusor muscle?,The layer of muscle in the bladder wall that squeezes urine out of the bladder.,medicine
What is diabetes?,A condition caused by high levels of glucose (a form of sugar) in the blood. The amount of glucose in your blood is controlled by a hormone called insulin. See also Diabatetes Type 1 and Type 2 below.,medicine
What is diagnosis?,The way a medical professional recognises a condition or disease.,medicine
What is dialysis?,A medical treatment that removes waste products and excess fluid from the blood when the kidneys are no longer able to do so on their own.,medicine
What is diaphragm?,The dome-shaped sheet of muscle at the base of the lungs that helps move air in and out of the lungs.,medicine
What is dietary fiber?,The part of plant foods the body can’t digest or absorb. Also called roughage.,medicine
What is digestive system?,"The organ system responsible for breaking down food into nutrients that can be absorbed and used by the body. It includes the mouth, esophagus, stomach, small and large intestine, liver, gallbladder, and pancreas.",medicine
What is digestive tract?,"The series of hollow organs, including the mouth, esophagus, stomach, small intestine, large intestine (colon), rectum, and anus, which break down and digest food and expel waste.",medicine
What is digit?,A finger or toe.,medicine
What is dilate?,To widen or enlarge.,medicine
What is dilation?,The widening of a blood vessel or the opening of the cervix during childbirth.,medicine
What is direct transmission?,The immediate transfer of an infectious agent from a reservoir to a susceptible host by direct contact or droplet spread.,medicine
What is disease?,An abnormal condition in the body causing harm.,medicine
What is disk?,"One of the small, shock-absorbing cushions found between the bones that make up the spinal column (vertebrae).",medicine
What is dislocation?,The movement of a bone from its normal position.,medicine
What is diuretic?,"A drug that eases the heart's workload and decreases the buildup of fluid in the lungs and other parts of the body by promoting the excretion of water and salts. Diuretics (also called water pills) are used to treat high blood pressure, heart failure, and some congenital heart defects.",medicine
What is dna?,"Deoxyribonucleic acid, a molecule that carries genetic information and is responsible for the development and function of all living organisms.",medicine
What is dnr?,A medical order that instructs healthcare providers not to attempt to revive a patient if their heart stops beating or they stop breathing.,medicine
What is dominant?,"When the genetic trait carried by one allele of a gene pair eclipses the trait carried by another; for example, when a gene carries alleles for two different eye colors, the dominant eye color gene determines the person’s eye color.do-not-resuscitate order",medicine
What is donor insemination?,"When sperm from a donor is put into a woman’s vagina, cervix or womb to help start a pregnancy.",medicine
What is dopamine?,A chemical messenger (neurotransmitter) that affects movement and thought processes.,medicine
What is dry eye?,"Stinging, burning, or irritation that occurs when the eye doesn’t produce enough moisture.",medicine
What is duct?,"A tube or vessel in the body which carries the secretion of a gland; Secretion examples are tears, breast milk, etc.",medicine
What is dura mater?,A thin protective membrane covering the brain and spinal cord.,medicine
What is durable power of attorney?,"A legal document in which an individual appoints another person to make medical, financial, or other decisions when the individual becomes unable to make those decisions.",medicine
What is ear canal?,A tube leading from the eardrum to the outer ear.,medicine
What is eardrum?,A thin membrane separating the ear canal and middle ear.,medicine
What is earwax?,"A substance that lubricates the inner ear and helps protect it from dirt, damage, and infections.",medicine
What is eccentric contraction?,A lengthening of the muscle during its contraction; controls speed of movement caused by another force.,medicine
What is ectomorph?," A body shape characterized by a narrow chest, narrow shoulders and long, thin muscles.",medicine
What is eczema?,"A condition in which areas of the skin are dry, itchy, red, and cracked. Also known as atopic dermatitis.",medicine
What is edema?,Swelling caused by abnormal accumulation of fluid in tissues.,medicine
What is ejaculation?,A sudden discharge of a fluid from a duct; often used to describe the expulsion of seminal fluid from the urethra of the penis during orgasm.,medicine
What is electrolytes?," Salts (ions) found in bodily fluids. Pertaining to exercise, your body loses electrolytes (sodium, potassium) when you sweat. These electrolytes need to be replaced to keep concentrations constant in the body, which is why many sports drinks include electrolytes.",medicine
What is embolism?,Blockage of a blood vessel by a clot (an embolus) that has traveled from another part of the body.,medicine
What is embryo?,A fertilised egg.,medicine
What is emission?,"The discharge or release of a substance, usually a fluid.",medicine
What is enamel?,The hard outside layer of tooth material.,medicine
What is encephalitis?,A severe and sometimes deadly inflammation of the brain that can be caused by a number of different viruses.,medicine
What is endemic?,Continually present among people in a geographic region.,medicine
What is endomorph?," A body shape characterized by a round face, short neck , wide hips, and heavy fat storage.",medicine
What is endorphins?,Substances in the body that reduce pain and create a feeling of well-being.,medicine
What is endoscopy?,Inserting a flexible tube equipped with a light and camera into the body to see inside a body cavity or organ.,medicine
What is enzyme?,"A substance that speeds up another chemical reaction. For example, digestive enzymes help speed up the digestion of food.",medicine
What is epidemic?,The occurrence of more cases of disease than expected within a population in a geographic area over a set period of time.,medicine
What is epidermis?,The outermost layer of skin.,medicine
What is epidural?,An anaesthetic injection into the space around the nerves in your back to numb the lower body.,medicine
What is epiglottis?,"A flap of tissue at the base of the tongue that covers the opening of the trachea during swallowing, preventing food and liquid from entering the airway.",medicine
What is epinephrine?,"A chemical that narrows blood vessels, increases heart rate, and helps trigger the fight-or-flight response to danger. Also called adrenaline.",medicine
What is epipen?,"A brand name for an auto-injector that delivers a dose of epinephrine to treat severe allergic reactions, such as anaphylaxis.",medicine
What is erectile dysfunction?,The inability to get or maintain an erection sufficient for intercourse. Sometimes referred to as ED.,medicine
What is erector spinae?,A group of muscles and tendons in the back.,medicine
What is ergonomics?,"Designing and arranging work objects so that the user is comfortable, efficient, and less likely to be injured.",medicine
What is esophageal muscles?,The muscles in the esophagus that contract to move food and liquids from the mouth to the stomach during swallowing.,medicine
What is esophagus?,The tube that carries food and liquids from the mouth to the stomach.,medicine
What is essential fats?,"Two fatty acids, omega-3 and omega-6, that the body needs for good health but can’t make so they must come from foods and supplements.",medicine
What is estrogen?,A female sex hormone produced by the ovaries as part of the menstrual cycle. It encourages an egg to mature and prepares the womb for a pregnancy. Levels vary during the menstrual cycle.,medicine
What is executive functions?,"The component of thinking that organizes, plans, decides, and inhibits inappropriate impulses.",medicine
What is exercise?,A structured program of physical activity that helps an individual become physically fit.,medicine
What is exercise metabolic rate?,"The rate at which the body burns calories during exercise, which varies depending on factors such as the type and intensity of the exercise.",medicine
What is exercise stress test?,"The use of a treadmill, stationary bicycle, or other exercise machine while hooked up to heart-monitoring equipment. The test is used to determine if the heart's blood supply is sufficient and if the rhythm remains normal when the heart is stressed.",medicine
What is facet joints?,Paired joints that link a vertebra to its neighboring vertebrae. They allow the spine to move as a unit.,medicine
What is fallopian tubes?,"The pair of hollow tubes leading from the womb to the fimbriae near the ovaries. Each month one ovary releases an egg, which moves down the fallopian tube into the womb. The fallopian tube is where the egg is fertilised by sperm in natural conception.",medicine
What is fast-twitch fiber?,"One of two main types of skeletal muscle fibers. Fast-twitch fibers are recruited most heavily when bursts of power are needed, as in sprinting. See also slow-twitch fiber.",medicine
What is fat?,"One of the three major nutrients, along with carbohydrates and proteins.",medicine
What is fatigue?,A lack of energy. A decrease over time in the ability to perform a physical or mental task.,medicine
What is fatty acids?,Components of fats that can be used for energy by cells.,medicine
What is femur?,Thigh bone.,medicine
What is fertilisation?,"When a sperm enters an egg and an embryo forms. Natural fertilisation takes place inside a woman’s fallopian tubes. It can also take place outside the body, which is known as assisted conception. Techniques include IVF. See IVF and ART.",medicine
What is fetus?,An unborn baby.,medicine
What is fiber?,A substance found in plant foods that the body can’t digest.,medicine
What is fibrillation?,"Rapid and uncoordinated contractions of heart muscle fibers. When this occurs, the heart can't properly contract or pump blood.",medicine
What is fibula?,The calf bone.,medicine
What is fight-or-fight response?,"A physiological response to stress or danger, characterized by increased heart rate, rapid breathing, and the release of hormones such as adrenaline.",medicine
What is fixed joint?,"An area where two bones meet that is fixed, or doesn’t move.",medicine
What is fixed resistance?,Strength training exercises that provide a constant amount of resistance throughout the full range of motion. Examples include free weights and resistance bands.,medicine
